datetime,title,source,link,top_sentiment,sentiment_score
8/17/2024 2:09:07 PM,Trending stocks this week as U.S. equities notch their best week of 2024,Seeking Alpha,https://seekingalpha.com/news/4141247-trending-stocks-this-week-as-us-equities-notch-their-best-week-of-2024?utm_source=businessinsider&utm_medium=referral&feed_item_type=news,positive,0.7283948659896851
8/16/2024 7:00:27 PM,"Catalyst Watch: Eyes on Jackson Hole, Target earnings, and Canadian rails disruption",Seeking Alpha,https://seekingalpha.com/news/4141061-catalyst-watch-eyes-on-jackson-hole-target-earnings-and-canadian-rails-disruption?utm_source=businessinsider&utm_medium=referral&feed_item_type=news,neutral,0.9338733553886414
8/16/2024 5:33:38 PM,Nvidia Stock (NASDAQ:NVDA): The AI Boom Isn’t Over Yet,TipRanks,/news/stocks/nvidia-stock-nasdaq-nvda-the-ai-boom-isn-t-over-yet-1033701623,neutral,0.8871016502380371
8/16/2024 12:05:28 PM,Nvidia (NVDA) Receives a Rating Update from a Top Analyst,TipRanks,/news/stocks/nvidia-nvda-receives-a-rating-update-from-a-top-analyst-1033701033,neutral,0.8692967891693115
8/15/2024 9:21:59 PM,Philippe Laffont's Coatue Management ups Nvidia stake by nearly tenfold among top Q2 moves,Seeking Alpha,https://seekingalpha.com/news/4140822-philippe-laffonts-coatue-management-ups-nvidia-stake-by-nearly-tenfold-among-top-q2-moves?utm_source=businessinsider&utm_medium=referral&feed_item_type=news,positive,0.9319825172424316
8/15/2024 4:28:53 PM,Nvidia maintains week-long rally as other semi stocks follow,Seeking Alpha,https://seekingalpha.com/news/4140670-nvidia-maintains-week-long-rally-as-other-semi-stocks-follow?utm_source=businessinsider&utm_medium=referral&feed_item_type=news,positive,0.772422730922699
8/15/2024 2:26:49 PM,"NVDA, SNOW, BIDU: 3 “Strong Buy” Tech Stocks to Consider on Weakness",TipRanks,/news/stocks/nvda-snow-bidu-3-strong-buy-tech-stocks-to-consider-on-weakness-1033696442,positive,0.6370109915733337
8/15/2024 11:54:45 AM,Is Nvidia (NVDA) Stock a Buy Ahead of Earnings?,InvestorPlace,/news/stocks/is-nvidia-nvda-stock-a-buy-ahead-of-earnings-1033694528,neutral,0.9307590126991272
8/15/2024 10:50:00 AM,7 Chip Stocks to Ride the 2024 AI Wave,InvestorPlace,/news/stocks/7-chip-stocks-to-ride-the-2024-ai-wave-1033694333,positive,0.6019753217697144
8/15/2024 10:42:00 AM,3 Battered Stocks Due for a Bounce After the Market Correction,InvestorPlace,/news/stocks/3-battered-stocks-due-for-a-bounce-after-the-market-correction-1033694337,negative,0.652768611907959
8/15/2024 10:40:00 AM,7 Meme Stocks to Buy on the Dip: August 2024,InvestorPlace,/news/stocks/7-meme-stocks-to-buy-on-the-dip-august-2024-1033694282,neutral,0.9110932946205139
8/15/2024 10:20:00 AM,NVDA Analysis: This Is Who Should Be Buying Nvidia Stock Now,InvestorPlace,/news/stocks/nvda-analysis-this-is-who-should-be-buying-nvidia-stock-now-1033694288,neutral,0.9356939792633057
8/15/2024 10:15:00 AM,Nvidia’s Temporary Setbacks Offer a Golden Buying Opportunity,InvestorPlace,/news/stocks/nvidias-temporary-setbacks-offer-a-golden-buying-opportunity-1033694291,positive,0.9411669373512268
8/14/2024 10:47:48 PM,"Whale Rock dives into Google, Coupang, sheds Salesforce, Marvell, others in Q2",Seeking Alpha,https://seekingalpha.com/news/4140137-whale-rock-dives-into-google-coupang-sheds-salesforce-marvell-others-in-q2?utm_source=businessinsider&utm_medium=referral&feed_item_type=news,neutral,0.9389869570732117
8/14/2024 9:14:27 PM,"Paul Singer's Elliott Management exits Nvidia, BTU, adds LUV, ARM, among other Q2 moves",Seeking Alpha,https://seekingalpha.com/news/4140102-paul-singers-elliott-management-exits-nvidia-btu-adds-luv-arm-among-other-q2-moves?utm_source=businessinsider&utm_medium=referral&feed_item_type=news,neutral,0.931962251663208
8/14/2024 6:53:23 PM,"Tiger Global boosts Amazon, Alphabet in Q2, trims Uber, JD.com, others",Seeking Alpha,https://seekingalpha.com/news/4139981-tiger-global-boosts-nvidia-amazon-alphabet-in-q2-trims-uber-jdcom-others?utm_source=businessinsider&utm_medium=referral&feed_item_type=news,positive,0.5633167624473572
8/14/2024 5:58:30 PM,"Softbank boosts AI bets with Nvidia, Tempus AI, among other buy/sells in Q2",Seeking Alpha,https://seekingalpha.com/news/4139949-softbank-boosts-ai-bets-with-nvidia-tempus-ai-among-other-buysells-in-q1?utm_source=businessinsider&utm_medium=referral&feed_item_type=news,positive,0.9042182564735413
8/14/2024 11:40:00 AM,Market Meltdown or Massive Opportunity? 7 Stocks to Watch,InvestorPlace,/news/stocks/market-meltdown-or-massive-opportunity-7-stocks-to-watch-1033687699,neutral,0.9090022444725037
8/14/2024 11:05:00 AM,Why Nvidia Stock Is a Must-Buy as the AI Boom Accelerates,InvestorPlace,/news/stocks/why-nvidia-stock-is-a-must-buy-as-the-ai-boom-accelerates-1033687576,neutral,0.8949840068817139
8/14/2024 10:15:00 AM,3 Dividend Stocks to Buy BEFORE They Announce Earnings Results,InvestorPlace,/news/stocks/3-dividend-stocks-to-buy-before-they-announce-earnings-results-1033687346,neutral,0.9435878992080688
8/14/2024 10:13:01 AM,Nvidia’s Q2 Earnings: The Stage Is Set for Another Blowout Quarter,TipRanks,/news/stocks/nvidia-s-q2-earnings-the-stage-is-set-for-another-blowout-quarter-1033688210,negative,0.705187201499939
8/14/2024 9:51:14 AM,Foxconn's Q2 profit rises on AI server demand; limited shipments of new Nvidia chips starting in Q4,Seeking Alpha,https://seekingalpha.com/news/4139616-foxconns-q2-profit-rises-ai-server-demand-limited-shipments-of-new-nvidia-chips-starting-in-q4?utm_source=businessinsider&utm_medium=referral&feed_item_type=news,positive,0.7460827231407166
8/14/2024 7:46:42 AM,Nvidia (NVDA): New Buy Recommendation for This Technology Giant,TipRanks,/news/stocks/nvidia-nvda-new-buy-recommendation-for-this-technology-giant-1033687432,positive,0.6772512793540955
8/13/2024 7:01:21 PM,NVDA Options Trade: Buy Right With a Buy-Write Strategy!,InvestorPlace,/news/stocks/nvda-options-trade-buy-right-with-a-buy-write-strategy-1033683670,neutral,0.866259753704071
8/13/2024 11:00:00 AM,3 Semiconductor Stocks to Buy on the Dip: August 2024,InvestorPlace,/news/stocks/3-semiconductor-stocks-to-buy-on-the-dip-august-2024-1033681284,neutral,0.8954511880874634
8/13/2024 10:45:00 AM,"NVDA Alert: Buy the Nvidia Stock Dip, as Pessimism Peaks",InvestorPlace,/news/stocks/nvda-alert-buy-the-nvidia-stock-dip-as-pessimism-peaks-1033681287,negative,0.9357064366340637
8/13/2024 10:30:00 AM,7 Strong Buy Stocks That Should Continue to Rally,InvestorPlace,/news/stocks/7-strong-buy-stocks-that-should-continue-to-rally-1033681157,positive,0.9164102673530579
8/13/2024 9:40:57 AM,Analysts Offer Insights on Technology Companies: Microsoft (MSFT) and Nvidia (NVDA),TipRanks,/news/stocks/analysts-offer-insights-on-technology-companies-microsoft-msft-and-nvidia-nvda-1033681694,neutral,0.9152177572250366
8/12/2024 10:13:38 PM,"A July CPI inflation miss could push stagflation fears back into the market, BofA says",Seeking Alpha,https://seekingalpha.com/news/4138932-a-july-cpi-inflation-miss-could-push-stagflation-fears-back-into-the-market-bofa-says?utm_source=businessinsider&utm_medium=referral&feed_item_type=news,negative,0.9530037641525269
8/12/2024 9:05:15 PM,What Are the Hottest Quantum Computing Stocks Right Now? 3 Top Picks.,InvestorPlace,/news/stocks/what-are-the-hottest-quantum-computing-stocks-right-now-3-top-picks-1033678888,neutral,0.914383590221405
8/12/2024 7:20:46 PM,5 Tech Stocks to Buy on the Rebound,InvestorPlace,/news/stocks/5-tech-stocks-to-buy-on-the-rebound-1033678627,neutral,0.6500357985496521
8/12/2024 4:19:10 PM,Did I Just Miss A Golden Opportunity to Buy Meta Stock?,TipRanks,/news/stocks/did-i-just-miss-a-golden-opportunity-to-buy-meta-stock-1033678638,neutral,0.5210550427436829
8/12/2024 2:22:08 PM,"Semiconductors could start recovering in October, BofA says",Seeking Alpha,https://seekingalpha.com/news/4138653-semiconductors-could-start-recovering-in-october-bofa-says?utm_source=businessinsider&utm_medium=referral&feed_item_type=news,positive,0.9334495663642883
8/12/2024 11:00:00 AM,7 A-Rated Tech Stocks to Top Your August 2024 Buy List,InvestorPlace,/news/stocks/7-a-rated-tech-stocks-to-top-your-august-2024-buy-list-1033676545,neutral,0.7592386603355408
8/12/2024 10:00:00 AM,3 Magnificent 7 Stocks to Consider as the Tech Selloff Intensifies,InvestorPlace,/news/stocks/3-magnificent-7-stocks-to-consider-as-the-tech-selloff-intensifies-1033676322,neutral,0.813163697719574
8/11/2024 1:30:00 PM,NVDA Stock: Is Nvidia a Buy Now After Facing Weeks of Hurdles?,InvestorPlace,/news/stocks/nvda-stock-is-nvidia-a-buy-now-after-facing-weeks-of-hurdles-1033671899,neutral,0.6605137586593628
8/10/2024 5:04:00 PM,"Notable analyst calls this week: Disney, Super Micro and Amgen among top picks",Seeking Alpha,https://seekingalpha.com/news/4138112-notable-analyst-calls-this-week-disney-super-micro-and-amgen-among-top-picks?utm_source=businessinsider&utm_medium=referral&feed_item_type=news,neutral,0.7600812911987305
8/10/2024 10:39:00 AM,The 3 Best Blockchain Stocks to Buy in August 2024,InvestorPlace,/news/stocks/the-3-best-blockchain-stocks-to-buy-in-august-2024-1033671323,neutral,0.8735195994377136
8/9/2024 7:00:00 PM,"Catalyst Watch: Eyes on Walmart earnings, the July CPI print, and 13F filings",Seeking Alpha,https://seekingalpha.com/news/4137465-catalyst-watch-eyes-on-walmart-earnings-the-july-cpi-print-and-13f-filings?utm_source=businessinsider&utm_medium=referral&feed_item_type=news,neutral,0.8191750645637512
8/9/2024 3:45:40 PM,Nvidia Technical Analysis: A Simple Dip Doesn’t Mean Abandon Ship!,InvestorPlace,/news/stocks/nvidia-technical-analysis-a-simple-dip-doesnt-mean-abandon-ship-1033670102,neutral,0.7831512093544006
8/9/2024 2:44:03 PM,Alphabet Stock: Why GOOGL Stock Is a Top Buy Among the Magnificent Seven,TipRanks,/news/stocks/alphabet-stock-why-googl-stock-is-a-top-buy-among-the-magnificent-seven-1033670820,neutral,0.8368909358978271
8/9/2024 1:49:27 PM,"Nvidia Stock (NASDAQ:NVDA): Fairly Valued After 18% Drop, Moderately Bullish Long-Term",TipRanks,/news/stocks/nvidia-stock-nasdaq-nvda-fairly-valued-after-18-drop-moderately-bullish-long-term-1033670603,positive,0.8779818415641785
8/9/2024 11:00:00 AM,Why This Week’s Jobless Claims Report Is Easing Recession Fears,InvestorPlace,/news/stocks/why-this-weeks-jobless-claims-report-is-easing-recession-fears-1033668570,negative,0.6537206172943115
8/9/2024 10:56:00 AM,3 Artificial Intelligence Stocks with Promising Applications,InvestorPlace,/news/stocks/3-artificial-intelligence-stocks-with-promising-applications-1033668571,positive,0.514058530330658
8/9/2024 9:30:00 AM,7 A-Rated Stocks for Your August 2024 Buy List,InvestorPlace,/news/stocks/7-a-rated-stocks-for-your-august-2024-buy-list-1033668163,neutral,0.9436892867088318
8/8/2024 5:11:24 PM,Mark Your Calendars! Nvidia Earnings Date Set for August — What to Expect.,InvestorPlace,/news/stocks/mark-your-calendars-nvidia-earnings-date-set-for-august-what-to-expect-1033662705,neutral,0.9288506507873535
8/8/2024 3:11:28 PM,"Political Stock Trades: Florida House Democrat Buys NVDA, AMZN, AVGO and More",InvestorPlace,/news/stocks/political-stock-trades-florida-house-democrat-buys-nvda-amzn-avgo-and-more-1033661813,neutral,0.8965343832969666
8/8/2024 3:11:05 PM,"The robotaxi fleet race heats up with Tesla, Waymo, Zoox, Uber, Lyft, and BYD in the mix",Seeking Alpha,https://seekingalpha.com/news/4137337-the-robotaxi-fleet-race-heats-up-with-tesla-waymo-zoox-uber-lyft-and-byd-in-the-mix?utm_source=businessinsider&utm_medium=referral&feed_item_type=news,neutral,0.820690929889679
8/8/2024 11:54:29 AM,Nvidia-backed Recursion to acquire Exscientia in all-stock deal,Seeking Alpha,https://seekingalpha.com/news/4137091-exscientia-stock-rises-recursions-buyout?utm_source=businessinsider&utm_medium=referral&feed_item_type=news,neutral,0.8470895886421204
8/8/2024 11:30:00 AM,3 Technology Stocks to Buy After a 20- 30% Correction,InvestorPlace,/news/stocks/3-technology-stocks-to-buy-after-a-20-30-correction-1033660212,positive,0.5825031995773315
8/8/2024 11:00:00 AM,7 A-Rated Growth Stocks to Buy in August 2024,InvestorPlace,/news/stocks/7-a-rated-growth-stocks-to-buy-in-august-2024-1033660109,neutral,0.922905683517456
8/7/2024 8:24:14 PM,3 AI-Focused Stocks That May Shape the Future of Technology,InvestorPlace,/news/stocks/3-ai-focused-stocks-that-may-shape-the-future-of-technology-1033655514,neutral,0.903491735458374
8/7/2024 5:37:32 PM,Nvidia Options Trade: Get Paid More When the Stock Goes Down!,InvestorPlace,/news/stocks/nvidia-options-trade-get-paid-more-when-the-stock-goes-down-1033654992,neutral,0.7322157025337219
8/7/2024 3:59:16 PM,Super Micro CEO indicates Nvidia's Blackwell likely delayed until early 2025,Seeking Alpha,https://seekingalpha.com/news/4136020-smci-ceo-indicates-nvidias-blackwell-likely-delayed-until-early-2025?utm_source=businessinsider&utm_medium=referral&feed_item_type=news,negative,0.6368420124053955
8/7/2024 2:31:46 PM,SMCI Stock Split Alert: Is Super Micro a Buy on the 10-for-1 Split News?,InvestorPlace,/news/stocks/smci-stock-split-alert-is-super-micro-a-buy-on-the-10-for-1-split-news-1033653875,neutral,0.9084144830703735
8/7/2024 2:25:32 PM,The 3 Best Semiconductors Stocks to Buy in August 2024,InvestorPlace,/news/stocks/the-3-best-semiconductors-stocks-to-buy-in-august-2024-1033653878,neutral,0.8647893667221069
8/7/2024 12:34:49 PM,Super Micro slumps as Wall Street worries gross margin woes offset better guidance,Seeking Alpha,https://seekingalpha.com/news/4135890-super-micro-slumps-as-wall-street-worries-gross-margin-woes-offset-better-guidance?utm_source=businessinsider&utm_medium=referral&feed_item_type=news,negative,0.9558933973312378
8/7/2024 8:17:26 AM,Nvidia’s Market Leadership and Growth Prospects Reinforce Buy Rating,TipRanks,/news/stocks/nvidia-s-market-leadership-and-growth-prospects-reinforce-buy-rating-1033652065,positive,0.9416292905807495
8/6/2024 8:48:46 PM,Nvidia News: New Street Research Upgrades NVDA Stock Amid Selloff,InvestorPlace,/news/stocks/nvidia-news-new-street-research-upgrades-nvda-stock-amid-selloff-1033647658,negative,0.9495529532432556
8/6/2024 7:52:53 PM,3 AI Stocks That Could See Incredible Growth in August and Beyond,InvestorPlace,/news/stocks/3-ai-stocks-that-could-see-incredible-growth-in-august-and-beyond-1033647355,positive,0.812768816947937
8/6/2024 7:21:43 PM,Serve Robotics News: Why Is SERV Stock Soaring Today?,InvestorPlace,/news/stocks/serve-robotics-news-why-is-serv-stock-soaring-today-1033647201,neutral,0.757504403591156
8/6/2024 2:07:55 PM,Core Scientific expands AI deal with Nvidia-backed CoreWeave,Seeking Alpha,https://seekingalpha.com/news/4134927-core-scientific-expands-ai-deal-with-nvidia-backed-coreweave?utm_source=businessinsider&utm_medium=referral&feed_item_type=news,positive,0.8146641850471497
8/6/2024 11:43:02 AM,"Analysts Conflicted on These Technology Names: Palantir Technologies (PLTR), Nvidia (NVDA) and Shift4 Payments (FOUR)",TipRanks,/news/stocks/analysts-conflicted-on-these-technology-names-palantir-technologies-pltr-nvidia-nvda-and-shift4-payments-four-1033646257,neutral,0.5224175453186035
8/6/2024 11:00:00 AM,3 AI Stocks That Could See Another Leg Higher This Year,InvestorPlace,/news/stocks/3-ai-stocks-that-could-see-another-leg-higher-this-year-1033644358,positive,0.8912582993507385
8/6/2024 11:00:00 AM,Don’t Let Talk of ‘Bubble Trouble’ Scare You Off Nvidia Stock,InvestorPlace,/news/stocks/dont-let-talk-of-bubble-trouble-scare-you-off-nvidia-stock-1033644360,neutral,0.6098848581314087
8/6/2024 10:15:00 AM,3 Quantum Computing Stocks with Long-Term Growth Potential,InvestorPlace,/news/stocks/3-quantum-computing-stocks-with-long-term-growth-potential-1033644210,neutral,0.6051995754241943
8/6/2024 10:00:00 AM,Rate Cuts Incoming? These 7 Stocks Could Skyrocket,InvestorPlace,/news/stocks/rate-cuts-incoming-these-7-stocks-could-skyrocket-1033644091,negative,0.6521594524383545
8/6/2024 2:40:59 AM,Nvidia Stock (NASDAQ:NVDA): Options Traders Are Taking the Contrarian Bet,TipRanks,/news/stocks/nvidia-stock-nasdaq-nvda-options-traders-are-taking-the-contrarian-bet-1033643298,negative,0.6518381834030151
8/5/2024 10:10:01 PM,Nvidia CEO Jensen Huang sold a record $323 million of stock in July before the market tanked,Business Insider,/news/stocks/nvidia-jensen-huang-stock-sale-tech-selloff-fed-rate-cuts-2024-8,neutral,0.9059577584266663
8/5/2024 8:36:28 PM,Monday Market Alert: Why Are Tech Stocks Down Today?,InvestorPlace,/news/stocks/monday-market-alert-why-are-tech-stocks-down-today-1033641077,negative,0.9525903463363647
8/5/2024 8:00:40 PM,"Semiconductor stocks mostly lower amid Nvidia delays, recession fears",Seeking Alpha,https://seekingalpha.com/news/4134026-semiconductor-stocks-mostly-lower-amid-nvidia-delays-recession-fears?utm_source=businessinsider&utm_medium=referral&feed_item_type=news,negative,0.969758152961731
8/5/2024 3:25:19 PM,Nvidia’s Hold Rating: Balancing Short-Term Chip Delays Against Long-Term AI Strengths,TipRanks,/news/stocks/nvidia-s-hold-rating-balancing-short-term-chip-delays-against-long-term-ai-strengths-1033640741,positive,0.659313440322876
8/5/2024 1:51:24 PM,NVDA Stock Alert: Why Is Nvidia Down Today?,InvestorPlace,/news/stocks/nvda-stock-alert-why-is-nvidia-down-today-2-1033639802,negative,0.9027565717697144
8/5/2024 1:41:18 PM,"Biggest stock movers today: AAPL, NVDA, crypto stocks, and more",Seeking Alpha,https://seekingalpha.com/news/4133756-biggest-stock-movers-today-aapl-crypto-stocks-and-more?utm_source=businessinsider&utm_medium=referral&feed_item_type=news,neutral,0.9329290390014648
8/5/2024 12:22:48 PM,"Nvidia sinks as Citi removes catalyst watch, cuts estimates amid Blackwell delay (update)",Seeking Alpha,https://seekingalpha.com/news/4133808-nvidia-sinks-citi-removes-catalyst-watch-cuts-estimates-amid-blackwell-delay?utm_source=businessinsider&utm_medium=referral&feed_item_type=news,negative,0.9397057890892029
8/5/2024 12:11:26 PM,"Analysts Offer Insights on Technology Companies: ACI Worldwide (ACIW), Wix (WIX) and Nvidia (NVDA)",TipRanks,/news/stocks/analysts-offer-insights-on-technology-companies-aci-worldwide-aciw-wix-wix-and-nvidia-nvda-1033640012,neutral,0.9219526052474976
8/5/2024 12:10:42 PM,D.A. Davidson Sticks to Its Hold Rating for Nvidia (NVDA),TipRanks,/news/stocks/d-a-davidson-sticks-to-its-hold-rating-for-nvidia-nvda-1033640017,neutral,0.8195744156837463
8/5/2024 11:22:02 AM,'Not a time to panic:' Wedbush pounds table for tech trade amid global sell-off,Seeking Alpha,https://seekingalpha.com/news/4133798-not-a-time-to-panic-wedbush-pounds-table-for-tech-trade-amid-global-sell-off?utm_source=businessinsider&utm_medium=referral&feed_item_type=news,neutral,0.5250177979469299
8/5/2024 9:16:43 AM,Nvidia’s Resilience Amidst Blackwell GPU Launch Delays: An Investment Opportunity,TipRanks,/news/stocks/nvidia-s-resilience-amidst-blackwell-gpu-launch-delays-an-investment-opportunity-1033638660,positive,0.8929889798164368
8/5/2024 6:10:26 AM,"Retail investors were net buyers of stocks in July, boosting tech exposure: Schwab",Seeking Alpha,https://seekingalpha.com/news/4133575-schwab-trading-activity-index?utm_source=businessinsider&utm_medium=referral&feed_item_type=news,positive,0.9337371587753296
8/5/2024 6:05:35 AM,"New Buy Rating for Nvidia (NVDA), the Technology Giant",TipRanks,/news/stocks/new-buy-rating-for-nvidia-nvda-the-technology-giant-1033637808,positive,0.748185932636261
8/5/2024 4:25:34 AM,Buy Rating Maintained for Nvidia Despite Short-Term Hurdles: Long-Term Growth and Market Dominance Expected,TipRanks,/news/stocks/buy-rating-maintained-for-nvidia-despite-short-term-hurdles-long-term-growth-and-market-dominance-expected-1033637287,positive,0.9488210082054138
8/4/2024 2:46:51 PM,Nvidia Stock Outlook: What Is the Downside if AI Doesn’t Stick?,InvestorPlace,/news/stocks/nvidia-stock-outlook-what-is-the-downside-if-ai-doesnt-stick-1033635219,negative,0.7816075086593628
8/4/2024 10:22:00 AM,3 Growth Stocks to Sell Before You Regret It,InvestorPlace,/news/stocks/3-growth-stocks-to-sell-before-you-regret-it-1033634812,neutral,0.925469160079956
8/3/2024 7:00:00 PM,7 Dynamite Long-Term Stocks to Buy on the Dip,InvestorPlace,/news/stocks/7-dynamite-long-term-stocks-to-buy-on-the-dip-1033634441,neutral,0.8489049673080444
8/3/2024 6:31:00 PM,"Notable analyst calls this week: Meta, AMD and Intel among top picks",Seeking Alpha,https://seekingalpha.com/news/4133415-notable-analyst-calls-this-week-meta-novavax-and-intel-among-top-picks?utm_source=businessinsider&utm_medium=referral&feed_item_type=news,neutral,0.6663634777069092
8/2/2024 8:56:36 PM,The Watch List: 3 Tech Stocks That Are Majorly Moving the Markets,InvestorPlace,/news/stocks/the-watch-list-3-tech-stocks-that-are-majorly-moving-the-markets-1033634154,neutral,0.8752756118774414
8/2/2024 7:53:24 PM,VIX Alert: Market Fear Gauge Spikes to Highest Levels Since 2022,InvestorPlace,/news/stocks/vix-alert-market-fear-gauge-spikes-to-highest-levels-since-2022-1033634043,positive,0.8549279570579529
8/2/2024 6:33:09 PM,3 AI Stock Valuations That Can’t Keep Up With Reality,InvestorPlace,/news/stocks/3-ai-stock-valuations-that-cant-keep-up-with-reality-1033633922,negative,0.8253547549247742
8/2/2024 5:51:53 PM,Elliott Management Warns That Nvidia Stock Is in a Bubble,InvestorPlace,/news/stocks/elliott-management-warns-that-nvidia-stock-is-in-a-bubble-1033633905,negative,0.9636082649230957
8/2/2024 5:34:15 PM,NVDA Stock Alert: Antitrust Officials Are Launching Their Probe Into Nvidia,InvestorPlace,/news/stocks/nvda-stock-alert-antitrust-officials-are-launching-their-probe-into-nvidia-1033633830,neutral,0.4981466829776764
8/2/2024 3:56:46 PM,"Intel leads chip stocks decline after results, outlook weighs on investor sentiment",Seeking Alpha,https://seekingalpha.com/news/4133407-intel-leads-chip-stocks-decline-after-results-outlook-weigh-on-investor-sentiment?utm_source=businessinsider&utm_medium=referral&feed_item_type=news,negative,0.9502553343772888
8/2/2024 1:24:04 PM,Why Are Stocks Down Today?,InvestorPlace,/news/stocks/why-are-stocks-down-today-70-1033632040,negative,0.9098418354988098
8/2/2024 12:33:44 PM,Trade of the Day: The Smart Money Is Betting Against Nvidia (NVDA) Stock,InvestorPlace,/news/stocks/trade-of-the-day-the-smart-money-is-betting-against-nvidia-nvda-stock-1033631893,neutral,0.9248782992362976
8/2/2024 10:59:00 AM,Microsoft Is Big Tech’s Swiss Army Knife. The Many Reasons to Buy MSFT Now.,InvestorPlace,/news/stocks/microsoft-is-big-techs-swiss-army-knife-the-many-reasons-to-buy-msft-now-1033631419,neutral,0.9358962178230286
8/2/2024 10:54:00 AM,"Nvidia Stock Analysis: One Reason to Buy, One Reason to Sell",InvestorPlace,/news/stocks/nvidia-stock-analysis-one-reason-to-buy-one-reason-to-sell-1033631312,neutral,0.9306544065475464
